name ,Asset Growth,Net Interest margin,ROA,Loss Allowance to Loans,Loans to Assets,Score
Freedom Bank,5.931208094,3.542029505,2.222821728,1.863121835,92.86931367,25.12432168
Currie State Bank,3.119003115,5.466371558,1.625180764,1.276100536,91.96884735,25.08412505
Balboa Thrift and Loan Association,9.168900444,6.486944775,0.542295023,1.492671847,91.77466057,25.07414305
Bank of Hydro,-2.662012836,4.830497853,2.726460185,1.061174076,91.47914623,25.02431959
Bank of Cordell,-5.501136077,4.733836792,1.741213124,0.696619505,92.85029033,25.00548994
Central State Bank,6.957979205,5.012317877,3.056250912,1.139559694,90.71775019,24.98146967
Lowry State Bank,7.959384858,5.176055502,2.414209822,0.970562456,91.33083596,24.97291594
First Federal Savings and Loan Bank,12.86048324,5.040355569,2.991784804,1.067593017,90.44683054,24.88664098
Prime Bank,4.506214322,4.548965783,2.616915592,1.080246296,91.29219499,24.88458067
"TCM Bank, National Association",7.031450985,7.557431544,0.950779997,3.208531881,87.78971849,24.87661548
Farm Bureau Bank FSB,6.128106681,4.673594111,0.528119667,1.290883032,92.72085491,24.80336293
Bank of New Castle,1.641850195,1.682689232,1.038371895,0,96.24639076,24.74186297
First Federal Savings and Loan Association of San Rafael,4.760451322,3.661474745,0.423847605,0.5045517,94.29539419,24.72131706
1st Financial Bank USA,-1.022916704,18.9501573,1.3676944,4.965702385,73.3918287,24.6688457
The Peoples State Bank,5.362794864,6.0614296,2.367482684,1.319103805,88.90415049,24.66304164
Equitable Bank,16.15791489,3.684023411,0.856593717,1.475532587,92.61524979,24.65784988
Vantage Bank,16.569663,4.138529916,0.689471648,1.077123582,92.7175397,24.65566621
First Farmers & Merchants National Bank,4.082600221,4.874402953,2.167391961,1.216158171,90.18946777,24.61185521
Lead Bank,38.53684488,5.143083162,1.881293483,1.075190918,90.14453695,24.56102613
Main Street Bank,12.98677642,3.946363097,0.839170205,0.557268348,92.88050724,24.55582722
VALOR BANK,17.60541667,4.64642988,2.895082008,0.805880751,89.86840645,24.55394977
Bank of Glen Ullin,14.83064173,5.075138334,2.952164136,0.998049081,89.18178959,24.55178529
United National Bank,3.519943112,4.765946481,1.306936849,2.027094882,90.09493642,24.54872866
THE HOME LOAN SAVINGS BANK,6.477711257,4.548390824,1.723563432,1.179302426,90.73099726,24.54556349
The First National Bank of McGregor,23.64577247,5.06061878,1.17195613,1.006510772,90.87216375,24.52781236
"Sterling Bank and Trust, FSB",3.93045852,4.137818031,2.203594962,0.708417287,91.02773415,24.51939111
The Victory Bank,10.4183364,4.409203508,0.954724114,0.920430069,91.78902228,24.51834499
First National Bank,12.37396339,4.096612584,1.117128919,1.337825536,91.48720015,24.5096918
The Bank of the West,-6.201665868,5.027098429,2.31626084,1.276979318,89.38041634,24.50018873
VisionBank,16.73166436,4.155581685,2.037393159,1.259483859,90.53843251,24.4977228
Spring Valley Bank,10.81644199,6.265530644,4.196036953,0.557169013,86.93306473,24.48795034
"Capital Bank, National Association",19.68078511,5.709416396,1.247172067,1.117102279,89.78012647,24.4634543
The Farmers Bank,-2.366500936,5.047207574,-1.095403144,1.561496099,92.33443103,24.46193289
Verus Bank of Commerce,10.97257475,4.6552004,2.100014834,0.887590075,90.14465837,24.44686592
New Century Bank,20.11140605,7.070575335,2.861799316,1.657560035,86.14060489,24.43263489
Western State Bank,18.48438793,5.452349904,1.738667053,1.69474716,88.83909672,24.43121521
Franklin Savings Bank,7.42225685,4.752239498,1.260584612,0.898389505,90.74994435,24.41528949
Prime Alliance Bank,23.09850873,4.515982318,2.277404908,2.189801788,88.67074863,24.41348441
State Bank of De Kalb,16.21399361,4.612996207,2.173206704,1.456612181,89.3485888,24.39785097
Midwest Bank,11.75992496,4.393474401,2.391006654,0.940508762,89.79156095,24.37913769
Heritage State Bank,-10.41750673,4.793509368,1.412114562,1.970136376,89.14874835,24.33112716
Star Bank,1.832357547,5.063184781,2.003093854,1.119096056,89.11542732,24.3252005
Great Plains National Bank,11.4709064,6.405416314,2.884776809,1.59571965,86.34146543,24.30684455
Citizens State Bank of La Crosse,13.96180237,4.183752134,2.75142554,0.835533544,89.42282098,24.29838305
Amerasia Bank,11.82544571,4.787326769,2.19983735,0.782027403,89.41407373,24.29581631
First General Bank,3.702730566,4.516121241,2.299957623,0.885748082,89.47861037,24.29510933
Farmers and Merchants Bank,3.398765831,4.325457187,2.002334793,0.635723629,90.17552435,24.28475999
Glenwood State Bank (Incorporated),9.069585881,4.249445888,1.981331357,1.082108981,89.77133426,24.27105512
Tri Valley Bank,5.174982189,3.685310221,1.933580658,1.162873148,90.28044647,24.26555262
"Capital One Bank (USA), National Association",1.954333517,11.74505588,2.839555572,5.229569595,77.24521237,24.26484835
The Peoples Savings Bank,2.053816584,4.179957221,0.447221267,0.886349485,91.44933046,24.24071461
Merchants and Manufacturers Bank,11.6001307,4.35152749,0.873555042,1.202236039,90.51739409,24.23617817
Massena Savings and Loan,4.140109354,3.665898399,0.759917185,0.758999074,91.72984843,24.22866577
Kentland Federal Savings and Loan Association,-8.192717584,4.004672117,0.057419355,0.71787509,92.11811723,24.22452095
Ponce Bank,11.96802737,3.909956956,0.460117098,1.364524138,91.11140783,24.21150151
First State Bank,8.349766034,3.928822155,1.675452375,1.272659185,89.92346803,24.20010044
Geddes Federal Savings and Loan Association,5.092273701,2.371836595,0.646407844,0.079283677,93.68820033,24.19643211
Adams Bank & Trust,4.943322134,4.703089295,1.327988908,1.522748584,89.21302078,24.19171189
Freedom Bank,13.3527841,3.931267835,1.119247157,1.209704633,90.48066462,24.18522106
Great American Bank,8.326918588,4.591987862,1.696963575,1.331192575,89.11744695,24.18439774
Lawrenceburg Federal Bank,9.327917848,3.859436161,0.681130609,0.356518117,91.67139244,24.14211933
"North American Savings Bank, F.S.B.",26.62906124,4.211300616,1.52001353,1.062763886,89.71459861,24.12716916
VISIONBank,1.699164059,4.208090734,0.550120587,1.273903246,90.43506012,24.11679367
Malaga Bank F.S.B.,15.23289558,3.19175235,1.498607352,0.316823717,91.36574241,24.09323146
Bay Port State Bank,10.45404096,4.288176793,0.49488853,1.256702783,90.29865806,24.08460654
American State Bank,6.323498424,3.528670924,1.782518366,1.573962144,89.34359715,24.05718715
Community Bank Mankato,5.683697742,4.129390884,1.070459406,1.028508165,89.97695118,24.05132741
"Minnesota First Credit and Savings, Incorporated",0.630378982,5.772928053,0.526123493,1.762800286,88.13981579,24.05041691
Ericson State Bank,16.73311299,4.769613647,2.200577062,0.939853981,88.28651105,24.04913894
Hiawatha Bank and Trust Company,-9.278243582,3.929020681,1.223003608,1.093821336,89.88330884,24.03228862
First Missouri Bank of SEMO,13.52099797,4.148945675,1.435410334,1.155428388,89.38333567,24.03078002
First Federal Savings & Loan Association of Ravenswood,23.47463857,4.01302767,0.69460282,0.27360515,91.10022053,24.02036404
State Bank of Bellingham,-7.286022809,3.628571574,1.650548718,0.992146378,89.7984314,24.01742452
The First National Bank of Orwell,5.018810088,4.20564826,1.122696857,1.225644732,89.49421764,24.01205187
Equitable Savings and Loan Association,1.424840878,3.26155405,0.545636717,0.254410337,91.97570115,24.00932556
Farmers & Merchants Savings Bank,2.350331761,4.08085111,1.611186109,2.040278633,88.24390177,23.99405441
"Home Loan Investment Bank, F.S.B.",17.5913999,4.958843551,0.925974221,1.435021327,88.59119937,23.97775962
East Boston Savings Bank,10.38600237,3.072340891,1.052328991,0.940163036,90.82806692,23.97322496
Bank of Clarks,9.105114825,5.305004663,1.256887311,1.255086072,88.03471273,23.96292269
"American Bank, National Association",9.244115243,3.77840677,1.797061309,1.8058582,88.40765394,23.94724505
First Bank of Owasso,13.21746785,4.227644652,2.241646933,1.500692152,87.79954258,23.94238158
Bofi Federal Bank,11.32653424,4.309586486,1.925740745,0.573350679,88.95172788,23.94010145
BankNorth,1.622567199,5.037082543,1.647702813,0.92924827,88.14045942,23.93862326
Core Bank,13.6797082,4.395318974,1.029829684,1.290144046,89.03240812,23.93692521
Sanibel Captiva Community Bank,9.283122287,4.618062029,1.706794647,0.876355425,88.5099127,23.9277812
Discover Bank,4.640622445,9.281308476,2.587372425,3.361105386,80.47028929,23.92501889
Mutual Savings and Loan Association,8.902051304,3.357677924,0.53352906,0.474619711,91.32659727,23.92310599
Almena State Bank,-31.66760514,5.019423162,-0.468878917,2.255344014,88.88421854,23.9225267
CenterBank,27.59045285,4.571888634,1.37685361,1.469610667,88.22770775,23.91151517
Platte Valley Bank,10.3263058,5.552180257,1.491992287,1.821898697,86.72935239,23.89885591
"Leader Bank, National Association",12.41113677,3.379787919,1.701068745,0.769176311,89.72390842,23.89348535
USNY Bank,11.33482152,3.924262972,1.458594968,1.631929172,88.53875074,23.88838446
Sallie Mae Bank,21.06545714,6.21085523,2.071774103,1.474478987,85.79316717,23.88756887
Seattle Bank,9.741520695,3.691566667,0.894718015,0.727702144,90.19529805,23.87732122
Cross County Bank,8.500453712,5.166501883,1.455386459,2.003657648,86.84315847,23.86717612
First Bank and Trust,4.995370787,4.4979986,1.672490868,0.888799087,88.30534374,23.84115807
Celtic Bank,18.27622209,6.931993379,5.02900047,1.498624096,81.89737211,23.83924751
Security State Bank,61.93011262,4.047460117,2.418953568,1.163454326,87.68471837,23.8286466
United Farmers State Bank,3.295746759,4.334705486,2.147781445,1.663915979,87.09941062,23.81145338
Texas National Bank of Jacksonville,5.0160338,4.097212949,1.178815179,1.398769618,88.55241183,23.80680239
Citizens Bank,25.59555364,5.188820602,1.468954983,0.838951311,87.72115831,23.8044713
Security Bank,5.008183124,4.288246042,2.082772433,2.258908024,86.57264096,23.80064186
Medallion Bank,3.788170385,9.804461403,0.404538548,7.022133504,77.95309485,23.79605708
The Bank of Steinauer,-1.592089827,4.621817207,1.255866294,0.657462196,88.62912686,23.79106814
Crockett National Bank,0.428452977,3.815731494,2.29258185,1.306942504,87.7292917,23.78613689
Grant County State Bank,9.068097939,4.286557396,2.427810075,2.021658807,86.37984967,23.77896899
First Commercial Bank (USA),8.280092935,4.046090739,1.452323982,1.307606939,88.21761415,23.75590895
First National Bank,37.04138123,9.204032142,2.617093968,6.675476014,76.48897703,23.74639479
Riverside Bank,-3.750099864,4.70029911,2.441381782,0.857767256,86.98410162,23.74588744
SouthEast Bank,23.69692076,3.833300624,1.002485505,0.366761515,89.77750382,23.74501287
NorthEast Community Bank,21.90405267,4.849198629,1.2511979,0.506157608,88.36374167,23.74257395
Select Bank,10.60479704,3.209385091,0.796224913,0.569578901,90.35560833,23.73269931
Community Bank Delaware,2.417306012,3.484578128,0.793894954,1.124592084,89.52467056,23.73193393
State Savings Bank,9.560006699,4.238177269,1.623111739,1.574764441,87.46568809,23.72543538
Apex Bank,5.630857478,9.227394992,4.579075334,1.2737404,79.79723841,23.71936228
Brunswick State Bank,4.550312166,4.277262938,2.390134695,1.282789244,86.81590641,23.69152332
First Federal Savings and Loan Association,7.816848293,3.488402335,0.282168004,0.87551143,90.10637468,23.68811411
"Maple City Savings Bank, FSB",10.67439355,4.004690458,0.41451593,0.811125674,89.50695156,23.68432091
Cornerstone Community Bank,6.870387478,4.111721997,1.127683999,1.514684949,87.97292949,23.68175511
The First Bank of Greenwich,15.18335848,3.468062906,0.882663228,1.06821522,89.28641803,23.67633985
Mid-America Bank,24.18615352,4.361322009,1.631319109,1.543945198,87.15209877,23.67217127
Grand River Bank,27.46659989,3.366042686,0.60455366,1.110160381,89.58306005,23.66595419
Union Savings and Loan Association,5.085980019,3.693576272,0.808672261,0.931232092,89.22694637,23.66510675
Brookline  Bank,8.289170085,3.759019889,1.292826727,0.94541736,88.65136998,23.66215849
First Bank of Utica,-0.17949485,4.095482883,0.730709128,1.509469938,88.30291893,23.65964522
"Transportation Alliance Bank, Inc. d/b/a TAB Bank",-3.489125004,6.867711523,1.842475277,1.460022382,84.40039666,23.64265146
RiverBank,17.84265471,4.671588618,1.772715088,1.026473558,87.0062592,23.61925912
Northpointe Bank,78.31686865,3.304461966,2.748472155,0.40607389,87.97906147,23.60951737
Farmers & Merchants Bank,4.986353274,4.631269932,1.10519888,1.061164699,87.63187958,23.60737827
Mid-Central Federal Savings Bank,0.553491152,3.890130717,0.833768579,0.920527176,88.75520793,23.5999086
Great Nations Bank,9.235978356,3.88354379,0.6382228,1.119618607,88.70816188,23.58738677
Farmers and Merchants Union Bank,0.108812551,3.889226251,1.464028722,3.435490644,85.54539128,23.58353422
Peoples Bank of the South,2.696702446,5.033925733,1.953619457,1.220338455,86.11524126,23.58078123
Parke Bank,19.11904137,4.012385371,2.004195998,1.515820606,86.77414161,23.5766359
Third Federal Savings and Loan Association of Cleveland,2.797161833,2.033951472,0.624710963,0.328455795,91.28623858,23.5683392
Murphy Bank,9.636649749,4.551980608,2.002554639,1.009982479,86.70397516,23.56712322
Drake Bank,17.37824077,4.749947104,0.308721802,1.208846698,88.00039582,23.56697786
United Community Bank,-3.597454109,4.233207916,1.573533864,1.098086312,87.35909971,23.56598195
First Financial Bank,4.884894587,4.659269146,2.528776286,1.145270339,85.91381901,23.5617837
First Enterprise Bank,-3.643867269,5.30792523,2.056865665,1.421196001,85.40723213,23.54830476
Bank of Deerfield,8.852776763,4.021952989,1.966363181,1.396496383,86.72504846,23.52746525
The Federal Savings Bank,94.92931459,3.392717339,2.613674072,0.277435988,87.74915188,23.50824482
Independence Bank,8.494361765,4.493747638,1.923595896,1.218995007,86.36347973,23.49995457
1st Equity Bank,-3.989230288,3.513416127,1.318683506,1.250623046,87.90424234,23.49674125
State Bank of Lismore,4.766034143,4.510627981,1.561225923,0.739665021,87.16418418,23.49392578
Great Plains Bank,5.235461923,3.909904684,1.681982354,1.350969538,87.02997627,23.49320821
Northern Bank & Trust Company,0.277581609,4.246968644,1.416424527,1.270620828,86.96332627,23.47433507
American Interstate Bank,1.111111111,4.34951781,2.567286032,1.546227756,85.38999264,23.46325606
Quantum National Bank,8.432808721,5.090722767,2.843592242,1.100190918,84.8178013,23.46307681
The Hershey State Bank,2.143656594,5.28767714,1.638996582,2.475782046,84.44137205,23.46095695
Citizens State Bank,-5.891887237,3.998631098,1.37133735,1.901920047,86.55049179,23.45559507
Kennebec Federal Savings and Loan Association of Waterville,2.627624494,3.580680692,0.256734167,0.56872918,89.39662729,23.45069283
Old Missouri Bank,18.6285878,3.630589968,0.886860853,1.198980828,88.07659427,23.44825648
Metropolitan Commercial Bank,68.09922799,3.935132637,1.489502746,1.08683831,87.26757378,23.44476187
Premier Bank,7.91431365,4.058196176,2.308499792,1.171934085,86.23174128,23.44259283
The Brattleboro Savings and Loan Association,9.944127914,3.658152554,0.535552064,0.882042885,88.65455603,23.43257588
First Central Bank McCook,2.497332453,4.820769322,1.883391862,1.82556573,85.16166184,23.42284719
Heartland State Bank,0.976398024,5.136682811,2.516799584,1.114423905,84.92159228,23.42237465
First National Bank and Trust Company of Weatherford,12.66223566,5.498994225,1.328948738,1.200359778,85.6024905,23.40769831
The First National Bank at Paris,17.86302569,4.935807348,1.986003779,1.493659205,85.16562001,23.39527259
"Broadway Federal Bank, f.s.b.",-1.236656403,2.717686745,0.296876373,0.843082775,89.70251716,23.39004076
First National Bank,0.572916052,5.574837641,1.769727893,1.172233825,85.03222407,23.38725586
Heritage Bank,9.793254738,5.032237263,1.526344194,1.21765085,85.75750772,23.38343501
Clarkston State Bank,9.862849868,3.909972812,1.23818905,1.1262172,87.2576725,23.38301289
Pioneer Bank,45.5279138,4.675449599,1.897013442,1.125195364,85.82485344,23.38062796
First Trust and Savings Bank,5.7465182,3.817049341,1.406489058,1.17115909,87.12268771,23.3793463
Lakeview Bank,18.01780157,4.846172109,1.29223125,1.338670516,86.00471353,23.37044685
First Missouri State Bank of Cape County,8.947019484,3.703733063,1.089280529,1.382930766,87.30231271,23.36956427
"Peoples National Bank , N.A.",1.695704836,4.040902356,1.044363945,1.071254342,87.3206571,23.36929444
The Cincinnatus Savings & Loan Co.,7.327311192,4.261541719,0.400861265,0.77129909,87.98817959,23.35547042
Belt Valley Bank,2.95470827,5.006135179,1.787618393,1.119375506,85.50187057,23.35374991
Wisconsin River Bank,14.61497447,3.858737385,0.999060287,1.583427041,86.96681316,23.35200947
"Community West Bank, National Association",6.542649267,4.126621756,0.996591014,1.124888013,87.10723989,23.33883517
Bank Forward,9.865041256,4.651784097,1.995176959,1.075875385,85.61743122,23.33506692
First Security State Bank,0.996519286,3.968555326,1.468202144,0.995582896,86.88694276,23.32982078
Platinum Bank,16.17353193,4.356102418,1.412169249,1.430851013,86.09469194,23.32345366
First Savings Bank,15.31895366,9.645357523,1.987048346,6.568174635,75.09270122,23.32332043
Central Bank of Oklahoma,-0.489047435,4.319659417,1.451541843,1.584258773,85.9282491,23.32092728
Stockmans Bank,6.359131081,4.786039477,1.505302193,0.659173538,86.32526637,23.31894539
Georgia Banking Company,36.3627959,3.898094881,1.221324092,0.511806256,87.64406916,23.3188236
"Republic Bank, Inc.",0.627309689,3.97211061,1.314174024,0.843232264,87.13504841,23.31614133
Perpetual Federal Savings Bank,-0.803630902,3.134463084,1.581714208,1.456693252,87.08947834,23.31558722
"Signature Bank, National Association",10.51407798,3.84730272,1.436512083,1.074649049,86.90134575,23.3149524
Bellevue State Bank,7.693751341,4.179060333,2.282457042,1.176130736,85.60448988,23.3105345
Gate City Bank,4.965578309,3.106086844,0.584945511,0.58648704,88.94737412,23.30622338
American Equity Bank,22.28038451,3.725694525,-0.518228621,1.40625,88.58142191,23.29878445
Anderson Brothers Bank,12.79581779,7.71452504,1.577603197,1.71982225,82.15623335,23.29204596
"Credit One Bank, National Association",49.50347526,7.480986715,50.52883184,11.45052187,23.68418898,23.28613235
Grand Ridge National Bank,17.75292136,5.63304118,1.83451272,0.539343809,85.12896094,23.28396466
United Orient Bank,-7.003362649,5.641314189,0.728916717,1.234675462,85.52444387,23.28233756
"Tempo Bank, A Federal Savings Bank",-1.44608581,2.998168667,0.038972191,0.225957437,89.84417984,23.27681953
First Capital Bank,2.756140409,5.196456536,0.990789187,1.115610912,85.79004939,23.27322651
F & C Bank,4.365160545,5.051655035,1.979032548,1.479507784,84.55100491,23.26530007
The Park Bank,8.556208097,3.763341686,1.258815049,0.93894826,87.0731251,23.25855752
InFirst Bank,6.623450761,3.809380864,0.636872676,1.319757915,87.24555684,23.25289207
BankVista,18.86309109,3.937382869,0.851129146,1.402165451,86.81297326,23.25091268
The Solomon State Bank,2.077761467,3.743440608,1.964836753,3.162542534,84.12545999,23.24906997
Success Bank,4.925640195,4.763017736,1.533004773,1.396365154,85.29635077,23.24718461
First Southeast Bank,-0.2655285,4.103946072,1.298223945,1.567952095,86.00074741,23.24271738
First Liberty Bank,6.789563327,4.159906875,0.814697596,1.224589018,86.75375217,23.23823641
State Bank of India,16.89944252,0,0,0,92.93288597,23.23322149
"American Plus Bank, N.A.",12.17581607,3.899895039,1.781107984,1.381992209,85.86446074,23.23186399
First Federal Savings and Loan Association,-4.018467852,3.918849473,0.613082112,1.467024267,86.90435477,23.22582766
Minnstar Bank National Association,1.863662188,4.16862859,0.961764029,1.380337274,86.38542359,23.22403837
Gulf Coast Bank and Trust Company,9.343682845,7.680332578,1.890886596,0.864085964,82.44601148,23.22032915
"Spirit of Texas Bank, SSB",77.91908869,4.559671002,1.10022856,0.641534681,86.56780654,23.2173102
Citizens State Bank of Luling,7.601758832,4.836187226,0.983872887,1.448893109,85.57055177,23.20987625
Farmers Trust and Savings Bank,1.139562158,3.972215479,1.675938114,1.496890279,85.69077404,23.20895448
First Advantage Bank,15.88775439,4.438036236,1.203496706,1.035977602,86.14627419,23.20594618
Century Bank of the Ozarks,1.084084015,5.07947023,2.154372985,1.732391616,83.84846953,23.20367609
State Bank of Wheaton,6.733840304,4.589121229,2.81894772,1.712787823,83.6400507,23.19022687
Homewood Federal Savings Bank,9.83627204,3.67961726,0.517894336,0.774988812,87.76718244,23.18492071
Great Southern Bank,8.499000188,4.153515871,1.601687457,0.941251895,86.04290589,23.18484028
Huron Valley State Bank,7.501095567,4.27233498,1.183570574,1.141322851,86.13585033,23.18326968
Milford Federal Bank,9.226935271,2.999916107,0.346868542,0.460511706,88.89318007,23.17511911
First Bank of Newton,8.173197773,3.973608192,1.145376284,1.324033284,86.2544591,23.17436922
Continental Bank,-9.340991536,6.791701135,2.405347782,1.840412116,81.65943524,23.17422407
FirstBank,-3.536194004,6.312966123,1.726454701,1.198284652,83.43475858,23.16811601
The Wilmington Savings Bank,3.275184401,3.178377956,0.333035155,5.093536374,84.0662566,23.16780152
State Bank of New Richland,7.762332047,4.103751089,2.52683314,0.962527474,85.0546283,23.161935
Cape Cod Co-operative Bank,3.620141801,3.395772882,0.69098197,0.954388538,87.60051446,23.16041446
Southern First Bank,18.35231946,3.617672796,1.29373697,0.990488488,86.73366915,23.15889185
Hebron Savings Bank,3.095723221,3.883341041,0.912272824,1.602929305,86.2229909,23.15538352
United Bank of Michigan,8.826521668,4.137758212,1.152858424,0.991300321,86.33910572,23.15525567
Eagle State Bank,15.30074988,3.467647988,1.38165448,1.043784325,86.72286337,23.15398754
Compass Savings Bank,-15.32075597,2.454425558,0.161303842,0.706753006,89.28595195,23.15210859
First Exchange Bank,14.20664279,4.115316518,1.563679062,1.379696476,85.5339779,23.14816749
Quontic Bank,-3.477841909,3.877870411,0.990729643,0.63587609,87.08100215,23.14636957
First Bank & Trust,11.54254612,5.22629806,1.581788375,1.217046293,84.5338692,23.13975048
Douglas National Bank,0.459218373,5.048781126,2.851699232,1.157723144,83.49961498,23.13945462
Touchmark National Bank,1.825352619,3.226817805,1.296047208,1.460889843,86.54639188,23.13253668
Meadows Bank,10.81673407,5.094648414,1.86440777,1.027939426,84.53951241,23.13162701
Cincinnati Federal,25.18775111,2.889277647,0.582498822,0.892533843,88.16080198,23.13127807
The Baltic State Bank,20.11027132,4.955416249,0.439278501,0.757298391,86.3099328,23.11548149
Centric Bank,10.50020623,4.063262794,1.35867582,1.089909485,85.92837019,23.11005457
Farmers and Merchants State Bank,0.891914199,4.24582994,1.920718661,2.039615611,84.2259871,23.10803783
Rolling Hills Bank & Trust,7.929400962,4.016806342,1.147969135,1.003612351,86.22364904,23.09800922
Heritage Community Bank,5.867185218,3.966811979,0.757698749,1.214370595,86.4514107,23.09757301
River Bank,7.233028535,3.399288313,1.916596919,1.13710651,85.93690699,23.09747468
Peoples Bank and Trust Company of Clinton County,6.783906486,5.263683716,1.046356831,0.734468421,85.3389344,23.09586084
Peoples Bank,4.083078998,4.469563515,0.858358472,0.84931831,86.20531989,23.09564005
Eastern National Bank,-13.8159482,3.678803461,-0.262906888,1.219648013,87.73365952,23.09230103
The State Bank of Toledo,-3.731519412,4.239370385,1.571049546,1.622022792,84.9154571,23.08697496
TrailWest Bank,19.7747516,4.292150068,1.607424972,1.371292232,85.06488036,23.08393691
"Texas Capital Bank, National Association",23.6273782,3.609723714,1.20909609,0.803258349,86.71206606,23.08353605
Evolve Bank & Trust,6.053636557,4.645748099,0.929558326,1.484953214,85.25648889,23.07918713
Carrollton Bank,16.46603838,3.45221821,1.306996108,1.422884888,86.1287123,23.07770288
Meridian Bank,17.41018452,3.743695154,0.848525388,0.917067857,86.79889855,23.07704674
The Provident Bank,17.84446038,4.299838592,0.950028372,1.401515056,85.63862819,23.07250255
Flint Community Bank,17.01798267,3.967576018,1.782126587,0.790002278,85.74675717,23.07161551
Prime Security Bank,7.872939073,4.250232628,1.376070099,0.784039627,85.85158695,23.06548233
The Benton State Bank,0.36639583,4.690647834,0.230786022,1.467250752,85.86080025,23.06237121
The Gifford State Bank,2.273341641,4.291987893,0.780641006,1.714489369,85.4579979,23.06127904
Horicon Bank,7.349604637,3.981440482,1.37822431,0.957108533,85.92585866,23.060658
First Missouri State Bank,0.065228612,4.034055595,1.751090284,1.401678594,85.02464507,23.05286739
Rivers Edge Bank,11.38644364,4.101071147,1.129384513,1.218947693,85.75194355,23.05033673
Peoples State Bank of Wells,6.245904799,4.297915493,0.85446995,0.667154288,86.36731548,23.0467138
GrandSouth Bank,19.97911953,5.427839555,0.896976032,1.400006318,84.42471198,23.03738347
Bank of Bird-in-Hand,39.07464888,3.108900646,0.907920251,0.849552702,87.26543532,23.03295223
Hillsdale County National Bank,10.4654673,4.278008216,1.415668808,1.240122333,85.17380698,23.02690158
Malvern Bank N.A.,22.22878653,2.883931876,1.0011235,0.990059891,87.22922647,23.02608543
Fairfield Federal Savings and Loan Association of Lancaster,1.644473856,3.484162201,0.531300249,0.31716653,87.76379862,23.0241069
Legacy Bank & Trust Company,14.5928289,4.8579152,1.458145062,1.307552029,84.47226457,23.02396922
Financial Security Bank,8.279037815,4.26043597,1.232941203,0.793049953,85.80230349,23.02218265
State Bank of Bottineau,-1.01356013,4.642975525,1.091651064,1.142433018,85.20929766,23.02158932
LegacyTexas Bank,15.23262153,4.049174488,1.512041287,0.845210683,85.67907828,23.02137618
First Midwest Bank of Dexter,-1.143911549,4.103018301,1.183732883,0.987307525,85.80592681,23.01999638
Frost State Bank,9.236119536,3.7993557,1.165688057,1.596239762,85.50689474,23.01704456
Bank of Botetourt,14.03690839,3.948868193,1.12036348,0.876233092,86.11934749,23.01620306
Peoples State Bank of Velva,-0.838310984,4.437936328,0.827791489,1.134670032,85.64198785,23.01059642
Sound Community Bank,0.110142023,4.321619383,1.099881439,0.930209977,85.67523918,23.00673749
"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",9.717216403,3.623682442,0.881828398,1.172001825,86.34793399,23.00636166
